# ombh2 omch2 theta_MC_100 tau logA ns nnu mnu
7.145483527264060862e-10 2.406210303388500090e-09 -8.796729741668196296e-11 -1.129081705984399067e-08 -1.186252268623861815e-08 9.689290829574663236e-09 3.144246803655617005e-07 -1.828197023535092232e-07
2.406210303388500090e-09 3.415366210564174744e-07 -3.185309266748920344e-08 -7.528865381250501231e-07 -4.398207588330292961e-07 -9.004360732070081592e-07 5.740177923398595675e-07 1.616456409494344793e-05
-8.796729741668196296e-11 -3.185309266748920344e-08 6.110598268904859934e-09 -4.492379507605683199e-08 -1.908171195343345771e-07 1.024371884935511427e-07 1.710457562781087712e-10 -2.302825515518299160e-06
-1.129081705984399067e-08 -7.528865381250501231e-07 -4.492379507605683199e-08 2.939371019058853226e-05 5.744718158777061164e-05 -1.298223304796148245e-06 -1.344757720170563985e-05 1.544197384893024111e-04
-1.186252268623861815e-08 -4.398207588330292961e-07 -1.908171195343345771e-07 5.744718158777061164e-05 1.164078347110215602e-04 -5.996298335311748863e-06 -2.385288534870310060e-05 3.645000526825687803e-04
9.689290829574663236e-09 -9.004360732070081592e-07 1.024371884935511427e-07 -1.298223304796148245e-06 -5.996298335311748863e-06 4.568386505418520489e-06 1.563134039351023321e-05 -7.320078948416463790e-05
3.144246803655617005e-07 5.740177923398595675e-07 1.710457562781087712e-10 -1.344757720170563985e-05 -2.385288534870310060e-05 1.563134039351023321e-05 2.274940287979595555e-04 -2.019750851194500253e-04
-1.828197023535092232e-07 1.616456409494344793e-05 -2.302825515518299160e-06 1.544197384893024111e-04 3.645000526825687803e-04 -7.320078948416463790e-05 -2.019750851194500253e-04 2.179874036381320747e-03
