# ombh2 omch2 theta_MC_100 tau logA ns nnu mnu HMCode_logT_AGN
1.102346146226735437e-09 8.406409777210546362e-09 -7.298952747083799314e-10 4.117076544387824545e-09 3.440063044323572421e-08 1.194826436385786557e-08 5.452157566817895958e-07 7.561684968228861533e-08 2.779035812547103117e-07
8.406409777210576141e-09 2.262284595162564732e-07 -1.825984890538883274e-08 -8.086039441062254368e-07 -1.065994372855220747e-06 1.565430445640106804e-07 7.034218010450845389e-06 3.027533046215028251e-06 8.445844268146507643e-06
-7.298952747083833435e-10 -1.825984890538868716e-08 8.462632632741308910e-09 1.530822432132248366e-08 -1.242254807631394754e-08 -1.105159580796759606e-08 -8.049334298922272834e-07 -4.300645139344113179e-07 -5.691953684680538041e-07
4.117076544388482980e-09 -8.086039441062975405e-07 1.530822432132668904e-08 2.000083303266980356e-05 3.729325415421681371e-05 2.254007219428133619e-06 6.080148594329922206e-06 7.161181076726636896e-05 7.157338260952206851e-06
3.440063044323753739e-08 -1.065994372855370672e-06 -1.242254807630659721e-08 3.729325415421719318e-05 7.194466753356415175e-05 3.417537261517951600e-06 2.669257559040219899e-05 1.494998344907856494e-04 1.465067152882301387e-05
1.194826436385742882e-08 1.565430445640235976e-07 -1.105159580796718908e-08 2.254007219427530955e-06 3.417537261516761095e-06 3.895554161376336393e-06 2.807758352242087591e-05 2.232256291748117867e-06 5.557075067824743947e-05
5.452157566817877958e-07 7.034218010450894517e-06 -8.049334298922251658e-07 6.080148594327197301e-06 2.669257559039673393e-05 2.807758352242099449e-05 4.744551011301497020e-04 9.539496742327202702e-05 5.302520206110127249e-04
7.561684968229664891e-08 3.027533046214519184e-06 -4.300645139343958595e-07 7.161181076727294193e-05 1.494998344907967625e-04 2.232256291751093917e-06 9.539496742328635204e-05 5.791074104990123154e-04 6.411936716334988150e-05
2.779035812547053354e-07 8.445844268146746506e-06 -5.691953684680582510e-07 7.157338260946017582e-06 1.465067152881120454e-05 5.557075067824680928e-05 5.302520206110090386e-04 6.411936716332798062e-05 1.356881396184867134e-03
