# ombh2 omch2 theta_MC_100 tau logA ns nnu mnu
1.080827665842196339e-09 3.938897547817857177e-09 -2.553522778513468412e-10 -1.519730751806170451e-08 -1.303590212276550133e-08 1.303983346486756266e-08 4.821763671133249057e-07 -2.557321931150336803e-07
3.938897547817857177e-09 4.194628858680180911e-07 -4.125114248088014103e-08 -9.271701293859977331e-07 -5.512001904841812513e-07 -1.128259986538725628e-06 6.368285664217858315e-07 1.969855855477603630e-05
-2.553522778513468412e-10 -4.125114248088014103e-08 1.135480557661067475e-08 -3.594659305681938387e-08 -1.986888518163800446e-07 1.275026855547537691e-07 -1.529362116652706202e-07 -2.719213936586004384e-06
-1.519730751806170451e-08 -9.271701293859977331e-07 -3.594659305681938387e-08 3.246748623468859993e-05 6.285228454046547664e-05 -1.959769484421305836e-06 -2.540799290024738164e-05 1.691835142074217557e-04
-1.303590212276550133e-08 -5.512001904841812513e-07 -1.986888518163800446e-07 6.285228454046547664e-05 1.266421886621523320e-04 -7.986686633822093987e-06 -4.637046412308790816e-05 4.029285864839092773e-04
1.303983346486756266e-08 -1.128259986538725628e-06 1.275026855547537691e-07 -1.959769484421305836e-06 -7.986686633822093987e-06 5.694582597622132094e-06 2.115822911580845481e-05 -9.514749446163244830e-05
4.821763671133249057e-07 6.368285664217858315e-07 -1.529362116652706202e-07 -2.540799290024738164e-05 -4.637046412308790816e-05 2.115822911580845481e-05 3.235384037102191222e-04 -3.497100912304287402e-04
-2.557321931150336803e-07 1.969855855477603630e-05 -2.719213936586004384e-06 1.691835142074217557e-04 4.029285864839092773e-04 -9.514749446163244830e-05 -3.497100912304287402e-04 2.581627229842836137e-03
