# ombh2 omch2 H0 tau logA ns nnu mnu
7.193609899621244862e-10 2.417366752942973474e-09 5.100683183365990883e-06 -1.143170545425366940e-08 -1.212616096933215196e-08 1.001324981767119040e-08 3.204021039819352682e-07 -1.863157836022764435e-07
2.417366752942973474e-09 3.395514707418079287e-07 -2.656703293816652491e-04 -7.674823478033932585e-07 -4.727588953756401809e-07 -8.979891875917908696e-07 5.577249823917814980e-07 1.591070054035076717e-05
5.100683183365990883e-06 -2.656703293816652491e-04 4.208069496614340599e-01 -1.300272250357626877e-03 -3.464115026405193819e-03 1.207879190097974715e-03 4.662969922328162944e-03 -2.843261084627711835e-02
-1.143170545425366940e-08 -7.674823478033932585e-07 -1.300272250357626877e-03 2.922473097039606266e-05 5.707759124007427638e-05 -1.300656303102779915e-06 -1.381503243887283189e-05 1.522206841685234328e-04
-1.212616096933215196e-08 -4.727588953756401809e-07 -3.464115026405193819e-03 5.707759124007427638e-05 1.156025068041745366e-04 -6.005114772972988563e-06 -2.465858318475966626e-05 3.595564155182234237e-04
1.001324981767119040e-08 -8.979891875917908696e-07 1.207879190097974715e-03 -1.300656303102779915e-06 -6.005114772972988563e-06 4.604528883310126267e-06 1.611934687272776877e-05 -7.318305106771142755e-05
3.204021039819352682e-07 5.577249823917814980e-07 4.662969922328162944e-03 -1.381503243887283189e-05 -2.465858318475966626e-05 1.611934687272776877e-05 2.338303808019252057e-04 -2.089302202208427486e-04
-1.863157836022764435e-07 1.591070054035076717e-05 -2.843261084627711835e-02 1.522206841685234328e-04 3.595564155182234237e-04 -7.318305106771142755e-05 -2.089302202208427486e-04 2.148064565566455524e-03
