# ombh2 omch2 theta_MC_100 tau logA ns nnu mnu HMCode_logT_AGN
1.106926260052211753e-09 7.205495204718013744e-09 -5.988353382110408714e-10 1.492228779822238751e-09 2.600431241413549703e-08 1.457898345413868891e-08 5.450192144812425104e-07 -1.576450485963972235e-08 2.806489235233343558e-07
7.205495204718122104e-09 5.563767597554639797e-07 -5.525399883206738949e-08 1.752296464676083777e-07 1.759634579549356799e-06 -5.592589094941461102e-07 7.190571888454394119e-06 2.973027667359259713e-05 7.773257468171846949e-06
-5.988353382110681684e-10 -5.525399883206357784e-08 1.281811962243664159e-08 -1.573584433595896440e-07 -4.522022194441210152e-07 6.775300084289747890e-08 -8.405952910228113525e-07 -3.803726566550433050e-06 -5.092701405265598698e-07
1.492228779828918028e-09 1.752296464664839415e-07 -1.573584433594792120e-07 4.152364292755540752e-05 8.239195701834634293e-05 5.356736017277624147e-07 1.189472491945953326e-05 2.648575273928600849e-04 9.715432120051061500e-06
2.600431241414850362e-08 1.759634579547113008e-06 -4.522022194439105275e-07 8.239195701834952778e-05 1.684914815262267393e-04 -1.890529375321126798e-06 3.858318727752480009e-05 6.023047719083391262e-04 1.789542526600550632e-05
1.457898345413987178e-08 -5.592589094941368987e-07 6.775300084290614775e-08 5.356736017246013936e-07 -1.890529375327365196e-06 5.456952903488463949e-06 2.786133799193775846e-05 -5.312958795522150924e-05 5.713305096769462707e-05
5.450192144812511925e-07 7.190571888454185749e-06 -8.405952910227824475e-07 1.189472491945430368e-05 3.858318727751429688e-05 2.786133799193767375e-05 4.761266590824512687e-04 1.406952010361643397e-04 5.312849544451203002e-04
-1.576450485959546488e-08 2.973027667358561419e-05 -3.803726566549992593e-06 2.648575273929341359e-04 6.023047719084666284e-04 -5.312958795520190551e-05 1.406952010362107436e-04 3.433928486258156290e-03 3.758321886969929023e-05
2.806489235233543141e-07 7.773257468172012967e-06 -5.092701405265524582e-07 9.715432120039763775e-06 1.789542526598394086e-05 5.713305096769436957e-05 5.312849544451276728e-04 3.758321886963143273e-05 1.359396980212602838e-03
