# ombh2 omch2 H0 tau logA ns nnu mnu
1.048070035628976693e-09 6.598555244685721644e-09 3.353146226103221024e-06 -3.636339309257958508e-09 1.845911053577323600e-08 1.512532055543566955e-09 4.437397843112813646e-07 1.296322344344439936e-08
6.598555244685625691e-09 1.716826918195002011e-07 -3.004800002076348563e-05 -1.039029154112084279e-06 -1.531051937633937537e-06 -1.978684876888216999e-07 3.606575846443966984e-06 1.351093704833065691e-06
3.353146226103364596e-06 -3.004800002076540332e-05 9.020634819075507016e-02 -2.831169347019313917e-04 -6.479603963303022865e-04 2.560583359399604001e-04 2.319413233086244953e-03 -5.384213695655812142e-03
-3.636339309258376234e-09 -1.039029154112027951e-06 -2.831169347019861981e-04 1.853203854949689552e-05 3.433049202504895043e-05 7.242407657066151615e-07 -8.984270981028666327e-06 6.055769102110256547e-05
1.845911053577179008e-08 -1.531051937633827634e-06 -6.479603963304104899e-04 3.433049202504884879e-05 6.598181224671321153e-05 2.736688736645307813e-07 -4.078305197281276444e-06 1.274206780573212245e-04
1.512532055544143086e-09 -1.978684876888141031e-07 2.560583359399564969e-04 7.242407657066708540e-07 2.736688736646698006e-07 1.835469291235904320e-06 7.728988731484699273e-06 -1.002219487914249816e-05
4.437397843112826880e-07 3.606575846444056346e-06 2.319413233086169927e-03 -8.984270981028778135e-06 -4.078305197281132448e-06 7.728988731484341825e-06 2.758293542834255722e-04 -2.373778240109084510e-05
1.296322344343485535e-08 1.351093704833394128e-06 -5.384213695655989951e-03 6.055769102109873688e-05 1.274206780573141501e-04 -1.002219487914309955e-05 -2.373778240109541569e-05 4.998615721555643449e-04
