# ombh2 omch2 H0 tau logA ns nnu mnu
1.085426575195985544e-09 3.945561227741676645e-09 7.429269437151955330e-06 -1.548898658294347584e-08 -1.362760532748715509e-08 1.337965361596948947e-08 4.885696633916026365e-07 -2.605338986834964775e-07
3.945561227741676645e-09 4.170309605322410513e-07 -3.256965569340323054e-04 -9.437812234417136404e-07 -5.891012583503337915e-07 -1.125554260155488950e-06 6.141346879192524745e-07 1.939677238307709845e-05
7.429269437151955330e-06 -3.256965569340323054e-04 5.369384426326104798e-01 -1.513394465322437637e-03 -4.040454769896082397e-03 1.562791053102894484e-03 7.202919557940536122e-03 -3.520050551611262485e-02
-1.548898658294347584e-08 -9.437812234417136404e-07 -1.513394465322437637e-03 3.232572997729378760e-05 6.253555567786332542e-05 -1.964419048891978049e-06 -2.589017200729613002e-05 1.670880733956110645e-04
-1.362760532748715509e-08 -5.891012583503337915e-07 -4.040454769896082397e-03 6.253555567786332542e-05 1.259365893042124383e-04 -8.000131048817357823e-06 -4.742808054433395937e-05 3.981097922911122264e-04
1.337965361596948947e-08 -1.125554260155488950e-06 1.562791053102894484e-03 -1.964419048891978049e-06 -8.000131048817357823e-06 5.737377474504599268e-06 2.171084139641539805e-05 -9.510238775973310740e-05
4.885696633916026365e-07 6.141346879192524745e-07 7.202919557940536122e-03 -2.589017200729613002e-05 -4.742808054433395937e-05 2.171084139641539805e-05 3.303936276793271402e-04 -3.577765788348686790e-04
-2.605338986834964775e-07 1.939677238307709845e-05 -3.520050551611262485e-02 1.670880733956110645e-04 3.981097922911122264e-04 -9.510238775973310740e-05 -3.577765788348686790e-04 2.547199048281185031e-03
