# ombh2 omch2 H0 tau logA ns nnu mnu
6.970270038098845028e-10 4.262041379241662986e-09 2.359132641704274571e-06 -2.729670940857869628e-09 1.133269564955089161e-08 2.196792544973795213e-09 2.963758124259583234e-07 3.104379881201661271e-09
4.262041379241720889e-09 1.460688121801251451e-07 -3.607038782114025852e-05 -9.012456675415757194e-07 -1.348174494495070089e-06 -1.862769745226327811e-07 2.509793703267418270e-06 1.524724280009743815e-06
2.359132641704267795e-06 -3.607038782114103102e-05 8.330454466642306377e-02 -2.663505764702610084e-04 -6.443407016226993661e-04 2.419929532382415250e-04 1.711871467406993327e-03 -5.205105959675270476e-03
-2.729670940858661653e-09 -9.012456675415738136e-07 -2.663505764702726636e-04 1.735498318802212986e-05 3.250645137991824840e-05 8.237387941879075450e-07 -3.929657438909498896e-06 5.943678302317485535e-05
1.133269564954943743e-08 -1.348174494495067760e-06 -6.443407016227200744e-04 3.250645137991825518e-05 6.287268586624558328e-05 5.367634343747601054e-07 1.543244555307173798e-06 1.258969228082152747e-04
2.196792544973626054e-09 -1.862769745226342104e-07 2.419929532382389501e-04 8.237387941879442851e-07 5.367634343748274445e-07 1.760257922411937050e-06 7.754902196175178261e-06 -8.783048428567024539e-06
2.963758124259580058e-07 2.509793703267386506e-06 1.711871467406990074e-03 -3.929657438908978818e-06 1.543244555308118452e-06 7.754902196175251106e-06 2.079325981514450422e-04 -3.736528857188891839e-06
3.104379881199862566e-09 1.524724280009783626e-06 -5.205105959675303436e-03 5.943678302317434713e-05 1.258969228082143803e-04 -8.783048428567251544e-06 -3.736528857190451650e-06 4.957542816713076403e-04
