# ombh2 omch2 theta_MC_100 tau logA ns nnu mnu HMCode_logT_AGN
7.326955966254797848e-10 4.504555333760160079e-09 -2.983696763844861308e-10 3.000229407818231464e-09 1.967980944299134285e-08 1.204677049645987203e-08 3.649581330816791860e-07 -1.763517541639839085e-08 2.192387395562236151e-07
4.504555333760102176e-09 4.358745890482579767e-07 -4.109206673051979622e-08 2.808846147546962111e-07 1.650452092133457430e-06 -4.674897882612844496e-07 5.261103290377807384e-06 2.445686301912698823e-05 5.877879551654870098e-06
-2.983696763844417215e-10 -4.109206673051894257e-08 7.045389625307014796e-09 -1.546990501407501120e-07 -4.122999201820746359e-07 5.875954862484422059e-08 -4.720885360659419622e-07 -3.175154720155671708e-06 -2.798896557159266659e-07
3.000229407806777080e-09 2.808846147544398248e-07 -1.546990501407276657e-07 3.982885311938240132e-05 7.929370004734881253e-05 1.330585188485293412e-06 2.295101009752199489e-05 2.529433191360899442e-04 2.302932598729601454e-05
1.967980944296792371e-08 1.650452092132951751e-06 -4.122999201820325490e-07 7.929370004734951727e-05 1.618589236193817356e-04 -3.608976772632753892e-08 5.453823751977657095e-05 5.652069040821951305e-04 3.866530266350218107e-05
1.204677049645943031e-08 -4.674897882612948787e-07 5.875954862484455808e-08 1.330585188485446937e-06 -3.608976772605096942e-08 4.760123871235367001e-06 2.378079922537349014e-05 -3.959458636718978929e-05 5.131761333290136358e-05
3.649581330816727803e-07 5.261103290377703199e-06 -4.720885360659640910e-07 2.295101009753141728e-05 5.453823751979489397e-05 2.378079922537377474e-05 3.614387047712021230e-04 1.830917187374882531e-04 4.398911013941978680e-04
-1.763517541647081217e-08 2.445686301912543308e-05 -3.175154720155564558e-06 2.529433191360982384e-04 5.652069040822070567e-04 -3.959458636719040593e-05 1.830917187374341243e-04 3.002837395120253310e-03 6.181577817282261076e-05
2.192387395562188241e-07 5.877879551654765913e-06 -2.798896557159454594e-07 2.302932598730442388e-05 3.866530266351848476e-05 5.131761333290178371e-05 4.398911013941991690e-04 6.181577817286950250e-05 1.261187518653118702e-03
