# ombh2 omch2 theta_MC_100 tau logA ns nnu mnu
1.044848453713202693e-09 6.564808516361866335e-09 -5.865542836419689575e-10 -3.476880278534614905e-09 1.866354162356271656e-08 1.445132275922206764e-09 4.393350770119354331e-07 1.464895575625181218e-08
6.564808516361886187e-09 1.713806687297055213e-07 -1.409854276191478569e-08 -1.037394036903602866e-06 -1.529232160451256686e-06 -1.980776944864145300e-07 3.572878871105204704e-06 1.368676137242206385e-06
-5.865542836419753682e-10 -1.409854276191467154e-08 8.140395928450873104e-09 3.402675262941220144e-08 2.549506066614602422e-08 1.612612862422909248e-08 -5.382229375535654368e-07 -2.944875187496093699e-07
-3.476880278534396529e-09 -1.037394036903646912e-06 3.402675262941646969e-08 1.855848407455140309e-05 3.438212982506118028e-05 7.453540358923544109e-07 -8.761637670959346720e-06 6.083936284459245730e-05
1.866354162356320956e-08 -1.529232160451342237e-06 2.549506066615421331e-08 3.438212982506120739e-05 6.607690978277103307e-05 3.162796241647444504e-07 -3.762792396655233926e-06 1.279841717993281407e-04
1.445132275922230545e-09 -1.980776944864180505e-07 1.612612862422918513e-08 7.453540358924239735e-07 3.162796241648780169e-07 1.827807203346268841e-06 7.610600355182718711e-06 -9.849411915994623576e-06
4.393350770119362272e-07 3.572878871105177599e-06 -5.382229375535638486e-07 -8.761637670958586084e-06 -3.762792396653785923e-06 7.610600355182733958e-06 2.717632464846070914e-04 -2.182756404326887805e-05
1.464895575625461632e-08 1.368676137241921994e-06 -2.944875187495899940e-07 6.083936284459522879e-05 1.279841717993333719e-04 -9.849411915994860746e-06 -2.182756404327200529e-05 5.028815833091894146e-04
