# ombh2 omch2 theta_MC_100 tau logA ns nnu mnu
6.931318221285615418e-10 4.226077910140854740e-09 -3.170748105219048977e-10 -2.653729958034999702e-09 1.135804808562530360e-08 2.074625344237130762e-09 2.916993961445018397e-07 4.261709292843059988e-09
4.226077910140662834e-09 1.457827617278262244e-07 -1.051368926753479970e-08 -9.005274519384175808e-07 -1.348210562924627572e-06 -1.869533251912329685e-07 2.473780335508182351e-06 1.538341762903937926e-06
-3.170748105219037603e-10 -1.051368926753494363e-08 3.570704712453517141e-09 2.156570066090847151e-08 1.070979606955227654e-08 1.786128642787730573e-08 -2.418116887511544307e-07 -3.540675478209228810e-07
-2.653729958030733105e-09 -9.005274519383825348e-07 2.156570066090519256e-08 1.739151360121088405e-05 3.257645116338100190e-05 8.443177607548380233e-07 -3.775159570904522727e-06 5.977609376142535948e-05
1.135804808563353404e-08 -1.348210562924554092e-06 1.070979606954586258e-08 3.257645116338085960e-05 6.299970166080976072e-05 5.779312502810643476e-07 1.721832818468352057e-06 1.265627950149049408e-04
2.074625344237160541e-09 -1.869533251912273039e-07 1.786128642787717338e-08 8.443177607547189093e-07 5.779312502808364957e-07 1.751370893315273341e-06 7.594619831094691226e-06 -8.608899060657469773e-06
2.916993961445012573e-07 2.473780335508313218e-06 -2.418116887511555424e-07 -3.775159570907611009e-06 1.721832818462379627e-06 7.594619831094642945e-06 2.033326163414698562e-04 -2.079757556827533148e-06
4.261709292860141268e-09 1.538341762904081710e-06 -3.540675478209352160e-07 5.977609376142518330e-05 1.265627950149051577e-04 -8.608899060657015763e-06 -2.079757556815534927e-06 4.990980349635211304e-04
