# ombh2 omch2 theta_MC_100 tau logA ns nnu mnu HMCode_logT_AGN
7.288344295740240502e-10 5.459658938320610334e-09 -3.992772627354743803e-10 4.789212004818976058e-09 2.581045264683229897e-08 9.859848666631228058e-09 3.650016647155177418e-07 5.327729706021058260e-08 2.153215516329718792e-07
5.459658938320710423e-09 1.831468763888616217e-07 -1.288204457373368545e-08 -6.616926158782154603e-07 -8.968344546131913718e-07 8.698277611220757963e-08 4.965910560747876249e-06 2.930708864682787036e-06 6.617698264113243886e-06
-3.992772627354809977e-10 -1.288204457373342241e-08 3.724616254959964326e-09 4.550137288976877971e-09 -2.142553345700706724e-08 -4.176122657893371270e-10 -4.075914198078859676e-07 -4.532716772626544120e-07 -3.292154420894618883e-07
4.789212004819072011e-09 -6.616926158783074692e-07 4.550137288985045552e-09 1.932178929525505353e-05 3.629198066264194121e-05 2.545809136479728061e-06 1.194171965077199628e-05 7.231357333943416699e-05 1.534123704683803120e-05
2.581045264683269271e-08 -8.968344546133747544e-07 -2.142553345699140044e-08 3.629198066264221226e-05 7.013188572661879512e-05 3.871232128024077719e-06 3.202732393957185956e-05 1.503960310833300437e-04 2.552374170476940976e-05
9.859848666631208206e-09 8.698277611220212686e-08 -4.176122657881571539e-10 2.545809136479460822e-06 3.871232128023533077e-06 3.500748999625582297e-06 2.392975870982559457e-05 2.598033872971661982e-06 4.916901844192332518e-05
3.650016647155189065e-07 4.965910560747780534e-06 -4.075914198078774443e-07 1.194171965077175403e-05 3.202732393957116161e-05 2.392975870982576059e-05 3.552943155777855597e-04 9.945288261247015277e-05 4.346453415021940330e-04
5.327729706021540010e-08 2.930708864682269499e-06 -4.532716772626238129e-07 7.231357333943989971e-05 1.503960310833399100e-04 2.598033872973549594e-06 9.945288261247713232e-05 5.767258739713488963e-04 6.314778543706439737e-05
2.153215516329771731e-07 6.617698264113226945e-06 -3.292154420894589766e-07 1.534123704683749588e-05 2.552374170476831201e-05 4.916901844192360978e-05 4.346453415021972857e-04 6.314778543705787861e-05 1.252583803780651884e-03
